"route","level","evidence_level","posterior_probability"
"Habitat",0,"None",0.992221821518804
"Habitat",1,"Co-occurrence",0.00777817844473074
"Habitat",2,"Use",3.65678606615548e-11
"Habitat",3,"Selection",5.49342378938342e-18
"Habitat",4,"Contribution",8.88589360559616e-26
"Habitat",5,"Dependence",2.6394889741369e-36
"Trophic",0,"None",0.341671164370956
"Trophic",1,"Co-occurrence",0.630760337434415
"Trophic",2,"Use",0.0274609873554769
"Trophic",3,"Selection",0.00010739534201905
"Trophic",4,"Contribution",1.15494653677971e-07
"Trophic",5,"Dependence",2.56705175189799e-12
