"paper_table_order","paper_common_name","frame_id","record_id","source_id","species","route","region","rung","level_source","specificity","life_stage","unit_of_inference","t_pathway","t_config","h_usemode","h_config","spatial_scale","temporal_scale","review_required","reasoning"
1,"Baardman","S0709","R07","Attwood et al. (2016) - Seasonally and spatially referenced estimates of recreational shore-angling effort, catch composition, catch rates and total catch in the Goukamma Marine Protected Area, South Africa.pdf","Umbrina robinsoni","H","East",0,"ai","Medium","unspecified","observation","not_applicable","not_applicable","non-kelp","not_applicable","16.4 km Goukamma MPA coastline, south coast of South Africa (Agulhas marine bioregion), east of the Ecklonia maxima kelp range","January 2009-December 2011 (3-year monthly roving creel survey)","no","Belman (34 fish, 2.7%) caught in the non-kelp Goukamma MPA; catches widely dispersed along the western half of the MPA. Level-0 observed_alternative on the habitat route."
1,"Baardman","S0481","R15","Bullock et al. (2021) - A decade of surf-zone linefish monitoring in the Dwesa-Cwebe Marine Protected Area.pdf","Umbrina robinsoni","H","East",0,"ai","Medium","unspecified","observation","not_applicable","not_applicable","non-kelp","not_applicable","Dwesa-Cwebe MPA, 19.5 km predominantly rocky shoreline surf zone, Eastern Cape east coast","January 2009-November 2019; 35 trips, 180 sampling days","no","Baardman was captured (n=16) in the Dwesa-Cwebe MPA surf zone on the Eastern Cape east coast, beyond the eastern kelp limit. Observed occupying non-kelp East-coast habitat with no kelp or diet data: level-0 habitat observed_alternative. Trophic route unassessed."
1,"Baardman","S0647","R08","Day (1970) - The biology of False Bay, South Africa.pdf","Umbrina robinsoni","H","West",0,"human_confirmed","Low","unspecified","observation","not_applicable","not_applicable","non-kelp","not_applicable","Shallow sandy shores, Muizenberg to Strandfontein, False Bay","Summer (first summer fish, September-October)","yes","The baardman congregates along shallow sandy shores, an occupied non-kelp habitat at the sampled place and time (level 0 observed alternative). Flagged for review for the same identity uncertainty as R07."
1,"Baardman","S0612","R32","Dicken (2010) - The ichthyofauna in the Port of Ngqura, South Africa.pdf","Umbrina robinsoni","H","East",0,"ai","Medium","adult","observation","not_applicable","not_applicable","non-kelp","not_applicable","Port of Ngqura (Dolosse), Algoa Bay","September 2006–September 2007","no","Baardman (all mature) caught at the dolosse (non-kelp) habitat in Algoa Bay east of the kelp limit. Level-0 observed_alternative on the habitat route."
1,"Baardman","S0366","R32","Dicken et al. (2012) - Long-term catch and effort trends in Eastern Cape Angling Week competitions.pdf","Umbrina robinsoni","H","East",0,"ai","Medium","both","observation","not_applicable","not_applicable","non-kelp","not_applicable","Eastern Cape shore, Port Alfred to Plettenberg Bay (~182 km sandy beach, 128 km rocky shore)","Angling Week competitions (one summer week per year), 1999-2010","no","Eastern Cape shore fishery east of the kelp limit; Table 1 records Umbrina robinsoni caught in non-kelp habitat (50 fish). Level-0 observed_alternative on the habitat route. Trophic route unassessed (no diet data)."
1,"Baardman","S0284","R22","Dunlop & Mann (2013)-An assessment of participation catch and effort in the offshore boat based line fishery in KZN.pdf","Umbrina robinsoni","H","East",0,"ai","Low","unspecified","observation","not_applicable","not_applicable","non-kelp","not_applicable","KZN coast, offshore boat-based linefishery","October 2008 – September 2009","no","East-region KZN catch survey; no kelp. Baardman (inshore sciaenid) recorded in recreational and charter catches, documenting occurrence in non-kelp KZN inshore waters. Level-0 observed_alternative, habitat route."
1,"Baardman","S0453","R02","Geldenhuys (2015) - Quantitative fish survey of the submarine canyons of the iSimangaliso Wetland Park.pdf","Umbrina robinsoni","H","East",0,"ai","Medium","unspecified","observation","not_applicable","not_applicable","non-kelp","not_applicable","Submarine canyons along ~78 km of shelf break off Sodwana Bay, northern KwaZulu-Natal, South Africa (East coast); ROV video census, 60-160 m depth","ROV survey 10 April - 13 May 2013 (ACEP iSimangaliso Coelacanth Expedition)","no","Deep-reef ROV video census off Sodwana Bay (northern KwaZulu-Natal), far east of the kelp limit; region East, non-kelp habitat. Umbrina robinsoni was recorded occupying deep subtropical reef/canyon habitat in Jesser and Chaka canyons at deep-reef depth classes (~100-120 m; Table 3 and Appendix 1, visually verified). Kelp is neither present nor mentioned. This is a level-0 observed_alternative on the habitat route (in-scope species in a non-kelp habitat at the sampled place and time). The trophic route is unassessed (occurrence/abundance only, no diet)."
1,"Baardman","S0474","R39","Gonzalez (2024) - Baited remote underwater video surveys report, Stilbaai Marine Protected Area (2013-2016).pdf","Umbrina robinsoni","H","East",0,"ai","Medium","unspecified","observation","not_applicable","not_applicable","non-kelp","not_applicable","Stilbaai MPA (~20 km2), warm-temperate south coast of the Western Cape, east of Cape Agulhas/De Hoop and beyond the eastern limit of Ecklonia maxima; reef, rocky and sand sites","2013-2016 (57 BRUV deployments)","no","Umbrina robinsoni was recorded by baited remote underwater video in the Stilbaai MPA (Table 3; present in 2013, 2014 per Table 4). Stilbaai lies on the warm-temperate south coast east of Cape Agulhas/De Hoop, beyond the eastern range limit of Ecklonia maxima, and the report explicitly states that the survey habitats were reef, rocky and sand and that kelp was not present in the dataset (Section 2.1, 'the data that was given to use did not include kelp'). The observation is therefore of the species occupying a non-kelp habitat at the sampled place, time and (unspecified) life stage, coding as a level-0 observed alternative on the habitat route. No kelp co-occurrence, kelp-structure action, availability comparison, or demographic endpoint is measured. The trophic route is unassessed: the survey used sardine bait and recorded no natural diet, so no trophic observation exists."
1,"Baardman","S0146","R01","Hutchings (2005) - Taxonomy, biology, and management of the genus Umbrina.pdf","Umbrina robinsoni","H","Both",0,"ai","High","both","site","not_applicable","not_applicable","non-kelp","not_applicable","South African coast, False Bay/Cape Point (West) to KwaZulu-Natal/Mozambique border (East)","2001-2002 shore-angling, spear-fishing and research catches; museum specimens (historical)","no","Umbrina robinsoni is documented occupying non-kelp habitats along the South African coast: juveniles in mixed rock-and-sand surf-zone habitats and adults along sandy beaches, mixed rock/sand surf-zones and subtidal limestone/sandstone reefs (p.45, PDF 58). Table 1.2 (p.15, PDF 28) shows surf-zone occupancy in all four regions from the SWC (False Bay-Cape Agulhas, on the Ecklonia maxima coast) through KZN, with n=819 specimens. Kelp is never mentioned in the source. This is a level-0 observed_alternative on the habitat route: the species occurs within the kelp region (West, via SWC) yet uses surf-zone/reef structure rather than kelp, and also occurs east of the kelp limit. Region is coded Both because documented occurrence spans West (SWC) and East (SC-KZN) and is treated jointly. No kelp use, selection, contribution or dependence is assessed by the source."
1,"Baardman","S0147","R01","Hutchings and Griffiths (2005) - Identity and distribution of the genus Umbrina.pdf","Umbrina robinsoni","H","Both",0,"ai","Medium","both","site","not_applicable","not_applicable","non-kelp","not_applicable","SA coast from False Bay/Cape Point to the Mocambique border; surf-zone to ~40m depth; occurrence resolved to region (SWC, SC, EC, KZN) and depth zone","2001-2002 research and recreational catches; competition records 1978-2000 (shore-angling) and 1990-1999 (spearfishing)","no","Umbrina robinsoni is an in-scope model species and the primary regional subject of this taxonomic/distributional paper. Its documented South African range includes the West (kelp) coast (False Bay/Cape Point; Table 2 SWC n=116) and extends east to the Mocambique border and beyond. The source repeatedly documents the species occupying non-kelp habitat at the sampled place, time and life stage: surf-zone and shallow sub-tidal reefs in the Cape (E02), and, off the east coast, mixed rock-and-sand surf-zone (juveniles) and sandy beaches, rock-and-sand surf-zones and high-structure limestone/sandstone subtidal reefs (adults) (E03), with Table 2 confirming an almost exclusively surf-zone/shallow distribution (E04). Kelp is never mentioned anywhere in the paper. This is a documented observation of an in-scope species occupying non-kelp habitat, which is a level-0 observed_alternative on the habitat route, not unassessed silence. No trophic observation (diet, stomach content, feeding) is reported for U. robinsoni, so the trophic route is unassessed and not coded. Region is Both because non-kelp habitat occupancy is documented in the West (SWC surf-zone, including False Bay) and in detail on the east coast. Specificity is Medium: habitat types are described clearly and depth distribution is quantified, but habitat assignment is qualitative. No availability, comparator, counterfactual, or endpoint is present, so nothing above level 0 is supported."
