"paper_table_order","paper_common_name","species","route","source_id","region","specificity","rung","dep_class","t_pathway","t_config","h_usemode","h_lifestage","h_config","review_flag","evidence","note","coder_id"
1,"Baardman","Umbrina robinsoni","H","Attwood et al. (2016) - Seasonally and spatially referenced estimates of recreational shore-angling effort, catch composition, catch rates and total catch in the Goukamma Marine Protected Area, South Africa.pdf","East","Medium",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","Belman (34 fish, 2.7%) caught in the non-kelp Goukamma MPA; catches widely dispersed along the western half of the MPA. Level-0 observed_alternative on the habitat route.",,"agent:opus:rfbf-v7.1"
1,"Baardman","Umbrina robinsoni","H","Bullock et al. (2021) - A decade of surf-zone linefish monitoring in the Dwesa-Cwebe Marine Protected Area.pdf","East","Medium",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","Baardman was captured (n=16) in the Dwesa-Cwebe MPA surf zone on the Eastern Cape east coast, beyond the eastern kelp limit. Observed occupying non-kelp East-coast habitat with no kelp or diet data: level-0 habitat observed_alternative. Trophic route unassessed.",,"agent:opus:rfbf-v7.1"
1,"Baardman","Umbrina robinsoni","H","Day (1970) - The biology of False Bay, South Africa.pdf","West","Low",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","yes","The baardman congregates along shallow sandy shores, an occupied non-kelp habitat at the sampled place and time (level 0 observed alternative). Flagged for review for the same identity uncertainty as R07.",,"agent:opus:rfbf-v7.1"
1,"Baardman","Umbrina robinsoni","H","Dicken (2010) - The ichthyofauna in the Port of Ngqura, South Africa.pdf","East","Medium",0,,"not_applicable","not_applicable","non-kelp","adult","not_applicable","no","Baardman (all mature) caught at the dolosse (non-kelp) habitat in Algoa Bay east of the kelp limit. Level-0 observed_alternative on the habitat route.",,"agent:opus:rfbf-v7.1"
1,"Baardman","Umbrina robinsoni","H","Dicken et al. (2012) - Long-term catch and effort trends in Eastern Cape Angling Week competitions.pdf","East","Medium",0,,"not_applicable","not_applicable","non-kelp","both","not_applicable","no","Eastern Cape shore fishery east of the kelp limit; Table 1 records Umbrina robinsoni caught in non-kelp habitat (50 fish). Level-0 observed_alternative on the habitat route. Trophic route unassessed (no diet data).",,"agent:opus:rfbf-v7.1"
1,"Baardman","Umbrina robinsoni","H","Dunlop & Mann (2013)-An assessment of participation catch and effort in the offshore boat based line fishery in KZN.pdf","East","Low",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","East-region KZN catch survey; no kelp. Baardman (inshore sciaenid) recorded in recreational and charter catches, documenting occurrence in non-kelp KZN inshore waters. Level-0 observed_alternative, habitat route.",,"agent:opus:rfbf-v7.1"
1,"Baardman","Umbrina robinsoni","H","Geldenhuys (2015) - Quantitative fish survey of the submarine canyons of the iSimangaliso Wetland Park.pdf","East","Medium",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","Deep-reef ROV video census off Sodwana Bay (northern KwaZulu-Natal), far east of the kelp limit; region East, non-kelp habitat. Umbrina robinsoni was recorded occupying deep subtropical reef/canyon habitat in Jesser and Chaka canyons at deep-reef depth classes (~100-120 m; Table 3 and Appendix 1, vi",,"agent:opus:rfbf-v7.1"
1,"Baardman","Umbrina robinsoni","H","Gonzalez (2024) - Baited remote underwater video surveys report, Stilbaai Marine Protected Area (2013-2016).pdf","East","Medium",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","Umbrina robinsoni was recorded by baited remote underwater video in the Stilbaai MPA (Table 3; present in 2013, 2014 per Table 4). Stilbaai lies on the warm-temperate south coast east of Cape Agulhas/De Hoop, beyond the eastern range limit of Ecklonia maxima, and the report explicitly states that th",,"agent:opus:rfbf-v7.1"
1,"Baardman","Umbrina robinsoni","H","Hutchings (2005) - Taxonomy, biology, and management of the genus Umbrina.pdf","Both","High",0,,"not_applicable","not_applicable","non-kelp","both","not_applicable","no","Umbrina robinsoni is documented occupying non-kelp habitats along the South African coast: juveniles in mixed rock-and-sand surf-zone habitats and adults along sandy beaches, mixed rock/sand surf-zones and subtidal limestone/sandstone reefs (p.45, PDF 58). Table 1.2 (p.15, PDF 28) shows surf-zone oc",,"agent:opus:rfbf-v7.1"
1,"Baardman","Umbrina robinsoni","H","Hutchings and Griffiths (2005) - Identity and distribution of the genus Umbrina.pdf","Both","Medium",0,,"not_applicable","not_applicable","non-kelp","both","not_applicable","no","Umbrina robinsoni is an in-scope model species and the primary regional subject of this taxonomic/distributional paper. Its documented South African range includes the West (kelp) coast (False Bay/Cape Point; Table 2 SWC n=116) and extends east to the Mocambique border and beyond. The source repeate",,"agent:opus:rfbf-v7.1"
1,"Baardman","Umbrina robinsoni","H","Hutchings and Griffiths (2010) - Assessment of Umbrina robinsoni.pdf","West","Medium",0,,"not_applicable","not_applicable","non-kelp","both","not_applicable","no","The paper is a per-recruit fisheries stock assessment of Umbrina robinsoni at False Bay, Stil Bay and the KwaZulu-Natal coast; it addresses fishing and natural mortality, growth, size and bag limits, and spawner-biomass reference points. A full-text search returns no mention of kelp, Ecklonia, seawe",,"agent:opus:rfbf-v7.1"
