"table_order","common_name_published","scientific_name_published","accepted_name","fishery_published","exploitation_status_published","in_species_frame_v7","rfbf_scope_v7","modelled_v7","n_model_records_v7","n_analysis_records_v7","model_status_v7","source_table_note","n_T","T_erank","T_reach","T_reach_lo","T_reach_hi","n_H","H_erank","H_reach","H_reach_lo","H_reach_hi","T_evidence","H_evidence"
1,"Baardman","Umbrina sp.","Umbrina robinsoni","Recreational","Susceptible to overfishing",TRUE,TRUE,TRUE,27,27,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.",3,1.017,0.017,0,0.152,24,1.042,0.042,0,0.224,TRUE,TRUE
2,"Black musselcracker","Cymatoceps nasutus","Cymatoceps nasutus","Recreational","Unknown, but vulnerable to fishing pressure",TRUE,TRUE,TRUE,46,46,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.",2,1.016,0.016,0,0.137,44,1.283,0.283,0.039,0.659,TRUE,TRUE
3,"Blacktail","Diplodus sargus capensis","Diplodus capensis","Recreational","Susceptible to overfishing",TRUE,TRUE,TRUE,145,145,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.",14,1.038,0.038,0,0.249,131,1.279,0.279,0.089,0.526,TRUE,TRUE
4,"Bronze bream","Pachymetopon grande","Pachymetopon grande","Recreational","IUCN near threatened",TRUE,TRUE,TRUE,42,42,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.",3,1.053,0.053,0,0.398,39,1.307,0.307,0.031,0.723,TRUE,TRUE
5,"Cape knifejaw","Oplegnathus conwayi","Oplegnathus conwayi","Recreational","Unknown",TRUE,TRUE,TRUE,20,20,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.",1,1.043,0.043,0,0.32,19,1.234,0.234,0.021,0.632,TRUE,TRUE
6,"Cape stumpnose","Rhabdosargus holubi","Rhabdosargus holubi","Recreational","IUCN least concern",TRUE,TRUE,TRUE,129,129,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.",14,1.036,0.036,0,0.286,115,1.027,0.027,0,0.149,TRUE,TRUE
7,"Carpenter","Argyrozona argyrozona","Argyrozona argyrozona","Commercial & recreational","Optimally exploited (previously overfished)",TRUE,TRUE,TRUE,53,54,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.",4,1.016,0.016,0,0.161,49,1.11,0.11,0.007,0.348,TRUE,TRUE
8,"Common smooth-hound shark","Mustelus mustelus","Mustelus mustelus","Commercial","IUCN vulnerable",TRUE,TRUE,TRUE,64,64,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.",5,1.02,0.02,0,0.157,59,1.105,0.105,0.015,0.275,TRUE,TRUE
9,"Dageraad","Chrysoblephus cristiceps","Chrysoblephus cristiceps","Commercial & recreational","Overexploited",TRUE,TRUE,TRUE,36,36,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.",2,1.015,0.015,0,0.127,34,1.295,0.295,0.039,0.691,TRUE,TRUE
10,"Dorado","Coryphaena hippurus","Coryphaena hippurus","Commercial","Unknown",FALSE,,FALSE,0,0,"not_in_rfbf_species_frame","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.",,,,,,,,,,,,
11,"Elf","Pomatomus saltatrix","Pomatomus saltatrix","Commercial & recreational","Unknown",TRUE,TRUE,TRUE,118,118,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.",9,1.019,0.019,0,0.172,109,1.008,0.008,0,0.052,TRUE,TRUE
12,"Englishman","Chrysoblephus anglicus","Chrysoblephus anglicus","Commercial & recreational","Collapsed",TRUE,FALSE,FALSE,0,15,"outside_rfbf_scope","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.",,,,,,,,,,,,
13,"Garrick","Lichia amia","Lichia amia","Recreational","Unknown",TRUE,TRUE,TRUE,79,79,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.",10,1.024,0.024,0,0.234,69,1.005,0.005,0,0.04,TRUE,TRUE
14,"Geelbek","Atractoscion aequidens","Atractoscion aequidens","Commercial & recreational","Overexploited",TRUE,TRUE,TRUE,66,66,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.",10,1.018,0.018,0,0.162,56,1.004,0.004,0,0.031,TRUE,TRUE
15,"Hottentot","Pachymetopon blochii","Pachymetopon blochii","Commercial & recreational","Sustainable",TRUE,TRUE,TRUE,46,46,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.",7,1.468,0.468,0.068,1.133,39,1.409,0.409,0.191,0.654,TRUE,TRUE
16,"Janbruin","Gymnocrotaphus curvidens","Gymnocrotaphus curvidens","Recreational","Unknown",TRUE,TRUE,TRUE,35,35,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.",3,1.018,0.018,0,0.149,32,1.27,0.27,0.048,0.616,TRUE,TRUE
17,"Panga","Pterogymnus laniarius","Pterogymnus laniarius","Commercial","Unknown",TRUE,TRUE,TRUE,43,43,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.",4,1.035,0.035,0,0.289,39,1.155,0.155,0.015,0.436,TRUE,TRUE
18,"Roman","Chrysoblephus laticeps","Chrysoblephus laticeps","Commercial & recreational","Previously depleted",TRUE,TRUE,TRUE,70,70,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.",5,1.014,0.014,0,0.115,65,1.323,0.323,0.112,0.586,TRUE,TRUE
19,"Red steenbras","Petrus rupestris","Petrus rupestris","None (previously recreational)","Overexploited",TRUE,TRUE,TRUE,51,52,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.",4,1.013,0.013,0,0.131,47,1.077,0.077,0.001,0.326,TRUE,TRUE
20,"Red stumpnose","Chrysoblephus gibbiceps","Chrysoblephus gibbiceps","Commercial & recreational","Overexploited",TRUE,TRUE,TRUE,43,43,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.",4,1.02,0.02,0,0.16,39,1.124,0.124,0.013,0.355,TRUE,TRUE
21,"Santer","Cheimerius nufar","Cheimerius nufar","Commercial & recreational","Unknown",TRUE,TRUE,TRUE,70,70,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.",7,1.032,0.032,0,0.268,63,1.026,0.026,0,0.164,TRUE,TRUE
