"table_order","common_name_published","scientific_name_published","accepted_name","fishery_published","exploitation_status_published","in_species_frame_v7","rfbf_scope_v7","modelled_v7","n_model_records_v7","n_analysis_records_v7","model_status_v7","source_table_note","accepted_name","search_names","common_name","taxon_group","model_scope","rfbf_scope","scope_note"
1,"Baardman","Umbrina sp.","Umbrina robinsoni","Recreational","Susceptible to overfishing",TRUE,TRUE,TRUE,27,27,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Umbrina robinsoni","Umbrina robinsoni | Bardman","Bardman","fish","true","true","Regular distribution overlaps the Ecklonia maxima coast and the species is in the linefish or motivating service-assessment frame."
2,"Black musselcracker","Cymatoceps nasutus","Cymatoceps nasutus","Recreational","Unknown, but vulnerable to fishing pressure",TRUE,TRUE,TRUE,46,46,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Cymatoceps nasutus","Cymatoceps nasutus | Poenskop","Poenskop","fish","true","true","Regular distribution overlaps the Ecklonia maxima coast and the species is in the linefish or motivating service-assessment frame."
3,"Blacktail","Diplodus sargus capensis","Diplodus capensis","Recreational","Susceptible to overfishing",TRUE,TRUE,TRUE,145,145,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Diplodus capensis","Diplodus capensis | Diplodus sargus capensis | Sargus capensis | Blacktail","Blacktail","fish","true","true","Regular distribution overlaps the Ecklonia maxima coast and the species is in the linefish or motivating service-assessment frame."
4,"Bronze bream","Pachymetopon grande","Pachymetopon grande","Recreational","IUCN near threatened",TRUE,TRUE,TRUE,42,42,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Pachymetopon grande","Pachymetopon grande | Bronze bream","Bronze bream","fish","true","true","Regular distribution overlaps the Ecklonia maxima coast and the species is in the linefish or motivating service-assessment frame."
5,"Cape knifejaw","Oplegnathus conwayi","Oplegnathus conwayi","Recreational","Unknown",TRUE,TRUE,TRUE,20,20,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Oplegnathus conwayi","Oplegnathus conwayi | Cape knifejaw","Cape knifejaw","fish","true","true","Regular distribution overlaps the Ecklonia maxima coast and the species is in the linefish or motivating service-assessment frame."
6,"Cape stumpnose","Rhabdosargus holubi","Rhabdosargus holubi","Recreational","IUCN least concern",TRUE,TRUE,TRUE,129,129,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Rhabdosargus holubi","Rhabdosargus holubi | Cape stumpnose","Cape stumpnose","fish","true","true","Regular distribution overlaps the Ecklonia maxima coast and the species is in the linefish or motivating service-assessment frame."
7,"Carpenter","Argyrozona argyrozona","Argyrozona argyrozona","Commercial & recreational","Optimally exploited (previously overfished)",TRUE,TRUE,TRUE,53,54,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Argyrozona argyrozona","Argyrozona argyrozona | Carpenter | silverfish","Carpenter/silverfish","fish","true","true","Regular distribution overlaps the Ecklonia maxima coast and the species is in the linefish or motivating service-assessment frame."
8,"Common smooth-hound shark","Mustelus mustelus","Mustelus mustelus","Commercial","IUCN vulnerable",TRUE,TRUE,TRUE,64,64,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Mustelus mustelus","Mustelus mustelus | Smooth houndshark","Smooth houndshark","fish","true","true","Regular distribution overlaps the Ecklonia maxima coast and the species is in the linefish or motivating service-assessment frame."
9,"Dageraad","Chrysoblephus cristiceps","Chrysoblephus cristiceps","Commercial & recreational","Overexploited",TRUE,TRUE,TRUE,36,36,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Chrysoblephus cristiceps","Chrysoblephus cristiceps | Dageraad","Dageraad","fish","true","true","Regular distribution overlaps the Ecklonia maxima coast and the species is in the linefish or motivating service-assessment frame."
10,"Dorado","Coryphaena hippurus","Coryphaena hippurus","Commercial","Unknown",FALSE,,FALSE,0,0,"not_in_rfbf_species_frame","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.",,,,,,,
