"table_order","common_name_published","scientific_name_published","accepted_name","fishery_published","exploitation_status_published","in_species_frame_v7","rfbf_scope_v7","modelled_v7","n_model_records_v7","n_analysis_records_v7","model_status_v7","source_table_note","family","feeding_guild","adult_depth_min_m","adult_depth_max_m","reef_association","mobility","max_length_cm","settlement_habitat","source","notes"
1,"Baardman","Umbrina sp.","Umbrina robinsoni","Recreational","Susceptible to overfishing",TRUE,TRUE,TRUE,27,27,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Sciaenidae","benthic_invertivore",0,130,"facultative_reef","mobile",90,"surf_zone","WC_Fish_list_kelp_coast.xlsx; FishBase","Robinson's baardman; surf-zone/subtidal-reef benthic invertivore (polychaetes, crustaceans, molluscs)"
2,"Black musselcracker","Cymatoceps nasutus","Cymatoceps nasutus","Recreational","Unknown, but vulnerable to fishing pressure",TRUE,TRUE,TRUE,46,46,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Sparidae","benthic_invertivore",0,100,"obligate_reef","resident",109.9,"reef","Mann 2013","high-profile reef; size FL; depth_max cautious"
3,"Blacktail","Diplodus sargus capensis","Diplodus capensis","Recreational","Susceptible to overfishing",TRUE,TRUE,TRUE,145,145,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Sparidae","generalist_carnivore",0,40,"facultative_reef","resident",40.3,"surf_zone","Mann 2013","size FL; estuary also used by juveniles"
4,"Bronze bream","Pachymetopon grande","Pachymetopon grande","Recreational","IUCN near threatened",TRUE,TRUE,TRUE,42,42,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Sparidae","generalist_carnivore",0,25,"obligate_reef","resident",70,"reef","Mann 2013","bronze bream; omnivorous browser (algae ~62%)"
5,"Cape knifejaw","Oplegnathus conwayi","Oplegnathus conwayi","Recreational","Unknown",TRUE,TRUE,TRUE,20,20,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Oplegnathidae","benthic_invertivore",5,32,"facultative_reef","resident",,"reef","WC kelp-coast list (2026)","trait from WC kelp-coast list; max length mean-imputed; verify"
6,"Cape stumpnose","Rhabdosargus holubi","Rhabdosargus holubi","Recreational","IUCN least concern",TRUE,TRUE,TRUE,129,129,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Sparidae","benthic_invertivore",0,50,"facultative_reef","resident",45,"estuary","Mann 2013","shallow coastal sand+reef; estuary-dependent juveniles/seagrass"
7,"Carpenter","Argyrozona argyrozona","Argyrozona argyrozona","Commercial & recreational","Optimally exploited (previously overfished)",TRUE,TRUE,TRUE,53,54,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Sparidae","piscivore",50,200,"obligate_reef","resident",80,"reef","Mann 2013","high-profile reef; squid/anchovy/sardine"
8,"Common smooth-hound shark","Mustelus mustelus","Mustelus mustelus","Commercial","IUCN vulnerable",TRUE,TRUE,TRUE,64,64,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Triakidae","benthic_invertivore",0,100,"facultative_reef","resident",173,"reef","Mann 2013","sand+rocky reef; philopatric; juv in bays"
9,"Dageraad","Chrysoblephus cristiceps","Chrysoblephus cristiceps","Commercial & recreational","Overexploited",TRUE,TRUE,TRUE,36,36,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Sparidae","benthic_invertivore",20,100,"obligate_reef","resident",70,"reef","Mann 2013","offshore reef; benthic carnivore"
10,"Dorado","Coryphaena hippurus","Coryphaena hippurus","Commercial","Unknown",FALSE,,FALSE,0,0,"not_in_rfbf_species_frame","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.",,,,,,,,,,
11,"Elf","Pomatomus saltatrix","Pomatomus saltatrix","Commercial & recreational","Unknown",TRUE,TRUE,TRUE,118,118,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Pomatomidae","piscivore",0,100,"facultative_reef","migratory",100,"surf_zone","Mann 2013","sand+rock surf-zone to 100m; Cape-KZN migration"
12,"Englishman","Chrysoblephus anglicus","Chrysoblephus anglicus","Commercial & recreational","Collapsed",TRUE,FALSE,FALSE,0,15,"outside_rfbf_scope","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Sparidae","benthic_invertivore",20,120,"obligate_reef","resident",80,"reef","Mann 2013","offshore reef sparid"
13,"Garrick","Lichia amia","Lichia amia","Recreational","Unknown",TRUE,TRUE,TRUE,79,79,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Carangidae","piscivore",0,50,"pelagic","migratory",180,"estuary","Mann 2013","nearshore pelagic carangid; estuary nursery"
14,"Geelbek","Atractoscion aequidens","Atractoscion aequidens","Commercial & recreational","Overexploited",TRUE,TRUE,TRUE,66,66,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Sciaenidae","piscivore",0,150,"facultative_reef","migratory",130,,"Mann 2013","sand+rock; juv mixed nursery, no single settlement token"
15,"Hottentot","Pachymetopon blochii","Pachymetopon blochii","Commercial & recreational","Sustainable",TRUE,TRUE,TRUE,46,46,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Sparidae","generalist_carnivore",0,55,"facultative_reef","resident",54,"kelp","Mann 2013","adults reef+kelp beds; juv shallow kelp beds; omnivore mainly algae; 54cm TL"
16,"Janbruin","Gymnocrotaphus curvidens","Gymnocrotaphus curvidens","Recreational","Unknown",TRUE,TRUE,TRUE,35,35,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Sparidae","benthic_invertivore",5,80,"obligate_reef","resident",50,"reef","Mann 2013","redbait/bryozoan/polychaete diet; high residency"
17,"Panga","Pterogymnus laniarius","Pterogymnus laniarius","Commercial","Unknown",TRUE,TRUE,TRUE,43,43,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Sparidae","benthic_invertivore",0,120,"facultative_reef",,40.5,"reef","Mann 2013","deep reef + mud/sand; movement Unknown; size FL"
18,"Roman","Chrysoblephus laticeps","Chrysoblephus laticeps","Commercial & recreational","Previously depleted",TRUE,TRUE,TRUE,70,70,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Sparidae","benthic_invertivore",0,100,"obligate_reef","resident",51.2,"reef","Mann 2013","highly resident; size 51.2cm FL"
