route,question,parameter,selected_option,alpha,beta,weight,source
Habitat,Q1,Geographic distribution,,,,0.05,
Habitat,Q2,Depth,,,,0.05,
Habitat,Q3,Coastal position,,,,0.05,
Habitat,Q4,Habitat occurrence,,,,0.15,
Habitat,Q5,Frequency of occurrence,,,,0.20,
Habitat,Q6,Life-stage use,,,,0.20,
Habitat,Q7,Habitat function,,,,0.30,
Trophic,Q1,Geographic distribution,,,,0.05,
Trophic,Q2,Depth,,,,0.05,
Trophic,Q3,Coastal position,,,,0.05,
Trophic,Q4,Trophic group,,,,0.10,
Trophic,Q5,Kelp-based source,,,,0.15,
Trophic,Q6,Proportion of prey items,,,,0.20,
Trophic,Q7,Trophic function,,,,0.40,
